Tag Name,Song Name,Artist Name,Genre
rock,Smells Like Teen Spirit,Nirvana,ROCK
rock,Mr. Brightside,The Killers,ROCK
rock,Come as You Are,Nirvana,ROCK
rock,Creep,Radiohead,ROCK
rock,Feel Good Inc.,Gorillaz,ELECTRONIC
rock,Yellow,Coldplay,ROCK
rock,Viva la Vida,Coldplay,ROCK
rock,Karma Police,Radiohead,ROCK
rock,Wonderwall,Oasis,ROCK
rock,Take Me Out,Franz Ferdinand,ROCK
rock,Californication,Red Hot Chili Peppers,ROCK
rock,The Scientist,Coldplay,ROCK
rock,Seven Nation Army,The White Stripes,ROCK
rock,Somebody Told Me,The Killers,ROCK
rock,Chop Suey!,System of a Down,METAL
rock,Under the Bridge,Red Hot Chili Peppers,ROCK
rock,Clocks,Coldplay,ROCK
rock,In the End,Linkin Park,ROCK
rock,No Surprises,Radiohead,ROCK
rock,Everlong,Foo Fighters,ROCK
rock,Sex on Fire,Kings of Leon,ROCK
rock,Lithium,Nirvana,ROCK
rock,Fix You,Coldplay,ROCK
rock,Sweet Child o' Mine,Guns N' Roses,ROCK
rock,Numb,Linkin Park,ROCK
electronic,Feel Good Inc.,Gorillaz,ELECTRONIC
electronic,Poker Face,Lady Gaga,POP
electronic,Kids,MGMT,ELECTRONIC
electronic,Stronger,Kanye West,HIP-HOP
electronic,Electric Feel,MGMT,ELECTRONIC
electronic,Bad Romance,Lady Gaga,POP
electronic,Clint Eastwood,Gorillaz,ELECTRONIC
electronic,Paranoid Android,Radiohead,ROCK
electronic,Somebody That I Used To Know,Gotye,ELECTRONIC
electronic,Time to Pretend,MGMT,ELECTRONIC
electronic,Just Dance,Lady Gaga,POP
electronic,Paper Planes,M.I.A.,HIP-HOP
electronic,One More Time,Daft Punk,ELECTRONIC
electronic,"Harder, Better, Faster, Stronger",Daft Punk,ELECTRONIC
electronic,Paparazzi,Lady Gaga,POP
electronic,I Gotta Feeling,Black Eyed Peas,POP
electronic,Teardrop,Massive Attack,ELECTRONIC
electronic,DARE,Gorillaz,ELECTRONIC
electronic,Midnight City,M83,ELECTRONIC
electronic,TiK ToK,Ke$ha,POP
electronic,Royals,Lorde,POP
electronic,Blinding Lights,The Weeknd,POP
electronic,Intro,The xx,ELECTRONIC
electronic,What You Know,Two Door Cinema Club,POP
electronic,Everything in Its Right Place,Radiohead,ELECTRONIC
seen live,Knights of Cydonia,Muse,ROCK
seen live,Plug In Baby,Muse,ROCK
seen live,I'm Not Okay (I Promise),My Chemical Romance,ROCK
seen live,Feeling Good,Muse,ROCK
seen live,Stockholm Syndrome,Muse,ROCK
seen live,Do Me a Favour,Arctic Monkeys,ROCK
seen live,New Born,Muse,ROCK
seen live,Map of the Problematique,Muse,ROCK
seen live,Borderline,Tame Impala,POP
seen live,"New Person, Same Old Mistakes",Tame Impala,ROCK
seen live,The Bitter End,Placebo,ROCK
seen live,Eventually,Tame Impala,POP
seen live,carDIGan,Taylor Swift,POP
seen live,Washing Machine Heart,Mitski,ROCK
seen live,Anti-Hero,Taylor Swift,POP
seen live,Butterflies and Hurricanes,Muse,ROCK
seen live,Bliss,Muse,ROCK
seen live,Into You,Ariana Grande,POP
seen live,Juicebox,The Strokes,ROCK
seen live,Take a Bow,Muse,ROCK
seen live,Nobody,Mitski,POP
seen live,Invincible,Muse,ROCK
seen live,Lover,Taylor Swift,POP
seen live,Hurt,Nine Inch Nails,ROCK
seen live,Assassin,Muse,ROCK
alternative,Smells Like Teen Spirit,Nirvana,ROCK
alternative,Mr. Brightside,The Killers,ROCK
alternative,Come as You Are,Nirvana,ROCK
alternative,Creep,Radiohead,ROCK
alternative,Feel Good Inc.,Gorillaz,ELECTRONIC
alternative,Yellow,Coldplay,ROCK
alternative,Viva la Vida,Coldplay,ROCK
alternative,Karma Police,Radiohead,ROCK
alternative,Wonderwall,Oasis,ROCK
alternative,Take Me Out,Franz Ferdinand,ROCK
alternative,Californication,Red Hot Chili Peppers,ROCK
alternative,The Scientist,Coldplay,ROCK
alternative,Kids,MGMT,ELECTRONIC
alternative,Seven Nation Army,The White Stripes,ROCK
